pref_name_for_society,HRAF_name_ID,glottocode,latitude,longitude,X,market,urban,popdens,fixity,tech,writing
Inca,Inka (SE13),cusc1236,-13.5,-72,Present,NA,100-199 persons,5.1-25 persons/ sq. mile,Sedentary,Multiple specialists,Nonwritten records
Aymara,Aymara (SF05),cent2142,-16,-65.75,Present,Supra-Regional,400-999 persons,100 persons / sq. mile,Sedentary,Metallurgy,Nonwritten records
Chachi,Chachi (SD06),chac1249,1,-79,Present,NA,400-999 persons,1-5 persons / sq. mile,Sedentary,Pottery or Loom,None
Yahgan,Yahgan (SH06),yama1264,-55.5,-69.5,Absent,Regional,< 100 persons,< 1 person / sq. mile,Nomadic,None,None
Mapuche,Mapuche (SG04),mapu1245,-38.5,-72.58,Present,NA,< 100 persons,26-100 persons  / sq. mile,Sedentary,Metallurgy,Mnemonic devices
Tehuelche,Tehuelche (SH05),tehu1242,-40.5,-68,Present,NA,100-199 persons,< 1 person / sq. mile,Nomadic,Metallurgy,None
Lengua,Enxet and Enlhet (SK15),nort2971,-23,-58.5,Present,NA,100-199 persons,< 1 person / sq. mile,Nomadic,Pottery or Loom,Mnemonic devices
Trumai,Trumai (SP23),trum1247,-11.83,-53.67,Absent,Supra-Regional,< 100 persons,< 1 person / sq. mile,Sedentary,Pottery or Loom,None
Nambikwara,Nambicuara (SP17),sout2994,-13,-58.75,Absent,NA,< 100 persons,< 1 person / sq. mile,Seminomadic,Pottery or Loom,None
Cayua,Guaraní (SM04),mbya1239,-23.5,-55,Present,NA,< 100 persons,< 1 person / sq. mile,Seminomadic,Pottery or Loom,None
Shavante,Xavante (SP26),xava1240,-13.5,-51.5,Absent,Local,200-399 persons,< 1 person / sq. mile,Seminomadic,None,None
Aweikoma,Xokleng (SM03),xokl1240,-28,-50,Present,Local,< 100 persons,< 1 person / sq. mile,Nomadic,Pottery or Loom,None
Canela,Canela (SO08),cane1242,-6.5,-46,Absent,Regional,200-399 persons,1-5 persons / sq. mile,Sedentary; impermanent,Pottery or Loom,Mnemonic devices
Aimoré,Botocudo (SN02),kren1239,-19,-42.5,Present,NA,< 100 persons,< 1 person / sq. mile,Nomadic,None,None
Tupinambá,Tupinamba (SO09),tupi1273,-22.79,-44.5,Absent,NA,400-999 persons,< 1 person / sq. mile,Sedentary; impermanent,Pottery or Loom,None
