Area,Society,OWC_Code,Subsistence,Year of observation,Location,Location(type),Age of learner,Age group of learner,Number of learner,Age of model,Age group of model,Number of model,Transmission modes,Transmission modes1,Social relationship,Transmission bias,Transmission bias1,Learning process,Learning process(type),Time spent,Perceived difficulty,Technology,Raw material,Function,Access to raw material,Genderedness,Confidence level of generedness judgement,Note,Reference
Southern Africa,Shona,FS05,Agro-pastoralists,1972-1977,NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,many other utensils making,NA,Utilitarian,NA,M,Low,"Both sexes are taught agricultural pursuits, such as hoeing, planting, reaping","Gelfand, 1979: 221"
Southern Africa,Shona,FS05,Agro-pastoralists,1972-1977,NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,leather work,Animal fiber,Utilitarian,NA,M,Low,"Both sexes are taught agricultural pursuits, such as hoeing, planting, reaping","Gelfand, 1979: 221"
Southern Africa,Shona,FS05,Agro-pastoralists,NA,NA,NA,boy at 6,middle childhood,NA,Older boys/grandfather,Adulthoods and older children,>1,Horizontal/Oblique,Horizontal/Oblique,Older boys,Familiarity-based/Kin-based,Mixed,teach,Interactive,NA,NA,trap making,NA,Utilitarian,NA,M,Low,NA,"Bullock, 1950: 40-41; Gelfand, 1979: 35-36"
Southern Africa,Shona,FS05,Agro-pastoralists,1972-1977,NA,NA,boys,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,watching and helping,Observational,NA,NA,woodwork,Wood,Utilitarian,NA,M,Low,NA,"Gelfand, 1979: 182"
Southern Africa,Shona,FS05,Agro-pastoralists,1972-1977,NA,NA,boys,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,watching and helping,Observational,NA,NA,iron work,Metal,Utilitarian,NA,M,Low,NA,"Gelfand, 1979: 182"
Southern Africa,Shona,FS05,Agro-pastoralists,1940-1967,NA,NA,boys after 6 or 7,middle childhood,NA,NA,Adulthood,>1,Vertical/Oblique,Vertical/Oblique,"father, brothers",Kin-based,Kin-based,helping,Observational,NA,NA,basket making,Plant fiber,Utilitarian,NA,M,Low,NA,"Gelfand, 1968: 105; Gelfand, 1979: 221"
Southern Africa,Shona,FS05,Agro-pastoralists,1940-1967,NA,NA,boys after 6 or 7,middle childhood,NA,NA,Adulthood,>1,Vertical/Oblique,Vertical/Oblique,"father, brothers",Kin-based,Kin-based,helping,Observational,NA,NA,mat making,Plant fiber,Utilitarian,NA,M,Low,NA,"Gelfand, 1968: 105"
Southern Africa,Tanala,FY08,Intensive agriculturalist,1926-1927,NA,NA,"boys ""at a very early age""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,traps for small birds and mammals,NA,Utilitarian,NA,M,Low,Tanala toys seem to be characterized by an almost complete absence of replicas of things used by adults,"Linton, 1933: 256-258"
Southern Africa,Tonga,FQ12,Horticulturalists,"1946-1947, 1948, 1950",NA,NA,"""throughout childhood""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,various tools or utensils,NA,Utilitarian,NA,NA,NA,Boys have a less uniform training and their competence,"Colson, 1958: 262-263"
Southern Africa,Tonga,FQ12,Horticulturalists,"1946-1947, 1948, 1950",NA,NA,girls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,basketery,Plant fiber,Utilitarian,NA,F,High,General woodcarving is for all children,"Colson, 1958: 260"
Southern Africa,Tonga,FQ12,Horticulturalists,"1946-1947, 1948, 1950",NA,NA,girls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pottery making,Clay,Utilitarian,NA,F,High,General woodcarving is for all children,"Colson, 1958: 260"
Southern Africa,Tonga,FQ12,Horticulturalists,"1946-1947, 1948, 1950",NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blacksmith,Metal,Utilitarian,NA,M,High,General woodcarving is for all children,"Colson, 1958: 260"
Southern Africa,Tonga,FQ12,Horticulturalists,"1946-1947, 1948, 1950",NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,advanced woodcarving,Wood,Utilitarian,NA,M,High,General woodcarving is for all children,"Colson, 1958: 260"
